District Names,State/UT,Number of Households surveyed,Children_Anaemic,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%),Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%),Women_Anaemic,All women age 15-19 years who are anaemic22 (%) ,Children_Stunted,Children_Wasted,Children under 5 years who are severely wasted (weight-for-height)19 (%),Children_Underweight,Children under 5 years who are overweight (weight-for-height)20 (%),Women (age 15-49 years) whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%),Electricity_Access,Improved_Water_Source,Improved_Sanitation,Clean_Fuel_Cooking,Households using iodized salt (%),Households with any usual member covered under a health insurance/financing scheme (%),Children age 5 years who attended pre-primary school during the school year 2019-20 (%),Women_Literacy,Women (age 15-49)  with 10 or more years of schooling (%)
Nicobars,Andaman & Nicobar Islands,882,37.7,38.4,*,38.3,48.0,21.6,15.7,7.8,24.6,1.5,8.2,97.9,98.8,83.5,56.9,99.4,2.7,29.5,87.5,53.5
North & Middle Andaman ,Andaman & Nicobar Islands,874,30.4,62.5,*,62.1,47.8,27.0,27.0,8.3,42.8,0.8,8.6,93.2,92.2,86.4,61.3,99.9,2.1,30.1,84.0,41.0
South Andaman ,Andaman & Nicobar Islands,868,43.4,57.6,*,57.7,43.2,21.1,12.6,3.5,17.4,7.2,10.0,99.6,97.9,89.3,91.9,99.7,1.2,50.8,86.7,57.5
Srikakulam ,Andhra Pradesh,874,59.6,62.8,*,62.6,59.2,19.7,19.5,7.4,21.4,4.5,13.8,99.9,87.7,71.6,74.7,76.5,75.6,0,64.3,42.5
Vizianagaram ,Andhra Pradesh,902,66.7,64.6,*,64.0,73.9,36.4,19.2,8.3,32.2,4.7,16.9,99.5,93.1,61.7,60.3,85.0,76.7,25.2,58.3,37.6
Visakhapatnam ,Andhra Pradesh,869,72.6,58.6,*,58.0,58.9,31.0,21.5,11.2,33.5,4.8,17.4,99.6,91.8,77.8,72.9,82.2,64.9,5,69.5,46.0
East Godavari ,Andhra Pradesh,888,66.8,63.2,*,63.0,65.2,23.1,14.3,3.8,22.4,3.4,10.2,98.8,97.9,77.7,80.3,81.2,66.4,11.2,77.9,43.2
West Godavari ,Andhra Pradesh,884,62.3,63.1,*,63.0,66.8,31.4,11.7,4.7,22.5,5.2,10.1,99.3,99.1,80.8,86.8,83.4,67.6,2.7,77.0,46.5
Krishna ,Andhra Pradesh,865,65.7,60.4,*,60.3,59.0,29.8,14.3,5.2,21.1,4.2,10.5,99.6,94.4,79.1,89.8,87.5,68.1,15.1,76.9,46.2
Guntur ,Andhra Pradesh,851,59.3,59.8,-51.9,59.5,54.6,23.8,17.8,8.1,26.9,3.6,9.6,99.2,99.3,83.4,91.7,85.8,71.1,7.6,68.5,32.6
Prakasam ,Andhra Pradesh,821,62.6,60.6,*,60.4,64.8,22.6,8.7,3.3,24.7,5.1,14.4,99.3,98.6,78.4,90.8,85.5,67.6,7.6,62.8,34.5
Sri Potti Sriramulu Nello ,Andhra Pradesh,865,67.5,59.6,*,59.4,68.6,29.2,17.2,6.9,27.8,0.5,15.2,99.1,95.6,81.8,84.6,85.6,72.3,9.6,70.5,38.7
Y.S.R. ,Andhra Pradesh,910,60.6,56.1,-57.6,56.1,60.2,34.4,14.1,4.2,26.7,0.2,15.9,99.8,99.9,85.4,94.3,80.2,73.3,9.5,63.8,40.0
Kurnool ,Andhra Pradesh,870,70.8,58.3,-67.8,58.6,61.1,50.5,16.7,6.0,46.3,1.1,20.6,99.9,97.9,73.5,78.1,70.4,73.3,5.5,57.0,33.4
Anantapur ,Andhra Pradesh,882,55.8,50.3,-54.9,50.5,50.0,36.0,19.3,4.0,40.6,0.3,21.9,99.6,98.8,71.3,86.4,88.6,73.2,17,63.6,31.3
Chittoor ,Andhra Pradesh,865,54.9,51.8,-52.7,51.8,43.9,27.1,14.8,6.3,27.9,0.5,20.1,99.7,98.5,74.6,86.6,85.5,70.7,14.2,69.3,40.3
Tawang ,Arunachal Pradesh,905,89.6,59.2,-57.4,59.1,76.3,30.4,7.1,1.9,9.0,21.1,1.2,99.7,99.8,81.7,88.1,99.9,33.5,3.3,59.1,39.2
West Kameng ,Arunachal Pradesh,959,66.6,38.4,18.2,37.4,50.9,24.2,23.2,11.9,13.4,15.5,1.9,97.5,99.8,88.9,88.9,98.9,38.3,3.9,73.7,43.6
East Kameng ,Arunachal Pradesh,940,51.7,26.9,-13.1,26.2,39.5,35.7,15.8,8.5,14.2,10.2,4.8,86.3,93.6,75.6,49.5,98.9,25.1,5.6,62.2,31.8
Papum Pare ,Arunachal Pradesh,950,53.4,39.4,-18.6,38.4,44.4,29.7,9.0,5.0,15.6,9.1,5.3,98.7,92.9,75.7,81.3,100.0,26.9,12.9,78.2,50.5
Upper Subansiri ,Arunachal Pradesh,988,60.4,36.6,-37.9,36.7,39.2,36.8,12.2,8.1,19.2,9.0,2.8,87.0,94.7,80.9,32.8,99.8,21.5,8,64.3,31.8
Upper Siang ,Arunachal Pradesh,935,51.0,29.4,-22.4,29.2,27.2,30.4,12.5,5.0,12.0,13.5,2.4,99.5,99.8,91.8,36.3,99.1,34.6,6.7,74.4,34.8
Changlang ,Arunachal Pradesh,981,65.3,57.1,-60.6,57.2,67.1,26.3,16.3,8.3,25.0,3.9,10.5,95.2,81.8,82.3,34.1,99.2,40.5,1.4,77.6,30.5
Lower Subansiri ,Arunachal Pradesh,986,52.4,41.1,-22.1,40.5,59.4,30.7,11.5,5.9,8.1,14.4,4.3,97.8,98.1,82.8,60.8,99.5,24.5,18.2,76.8,49.9
Dibang Valley ,Arunachal Pradesh,925,88.6,64.3,-39,62.9,67.7,16.9,18.1,7.8,16.0,4.6,3.8,79.2,100.0,95.0,49.3,99.6,28.7,3.2,77.8,43.2
Lower Dibang Valley ,Arunachal Pradesh,968,51.5,35.3,-19.6,34.6,39.4,14.3,7.6,2.9,9.7,5.0,4.1,84.4,99.5,89.9,57.4,98.7,36.8,2,81.6,51.9
